"STATION","NAME","DATE","AWND","PGTM","PRCP","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT08"
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-02-11","12.30"," 0105","0.00","53","31","  300","  220","21.0","25.9",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-02-12","8.72"," 1202","0.00","63","26","  120","   80","21.0","27.1",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-02-13","7.38"," 1513","0.00","67","37","  230","  220","18.1","23.9",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-02-14","12.30"," 1759","0.15","68","48","  220","  230","31.1","38.0",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-02-15","17.22"," 0350","0.01","65","46","  230","  210","32.0","38.9",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-02-16","16.55"," 1101","0.00","56","36","  270","  280","30.0","38.0",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-02-17","14.32"," 1231","0.00","50","28","  260","  270","31.1","38.0",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-02-18","13.87"," 1532","0.17","50","28","  220","  210","28.0","36.0",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-02-19","11.41"," 1504","0.05","42","25","  270","  260","28.0","32.0",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-02-20","8.72"," 1704","0.00","53","20","  210","  210","23.0","28.0",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-02-21","21.70"," 1848","0.01","51","34","  210","  190","40.0","50.1",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-02-22","15.88"," 0635","0.76","40","25","  210","  210","32.0","40.0",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-02-23","5.82"," 0411","0.00","39","13","  250","  240","15.0","19.0",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-02-24","7.61"," 1632","0.00","59","24","  250","  250","14.1","16.1",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-02-25","6.26"," 1450","0.00","64","33","  280","  300","18.1","23.0",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-02-26","6.26"," 1444","0.00","70","35","  250","  230","17.0","21.9",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-02-27","7.61"," 1426","0.00","69","44","  280","  290","16.1","21.0",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-02-28","9.17"," 1559","0.00","72","37","  310","  320","19.9","25.9",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-03-01","8.28"," 1330","0.00","74","37","  290","  290","21.0","25.1",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-03-02","14.54"," 1517","0.00","73","45","  270","  260","32.0","40.0",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-03-03","14.76"," 0148","0.00","70","47","  240","  230","25.9","34.0",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-03-04","9.17"," 1233","0.00","72","38","  260","  280","18.1","23.9",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-03-05","6.71"," 1606","0.00","78","39","  260","  260","17.0","21.9",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-03-06","12.30"," 1436","0.00","79","45","  280","  260","30.0","38.0",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-03-07","16.33"," 1039","0.00","70","52","  220","  230","29.1","36.9",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-03-08","19.46"," 1456","0.03","60","35","  240","  240","38.9","49.0",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-03-09","8.05"," 1331","0.00","61","27","  260","  220","19.9","23.9",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-03-10","10.74"," 1605","0.00","65","43","  220","  210","35.1","40.9",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-03-11","13.20"," 1507","0.13","72","42","  170","  180","30.0","45.0",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-03-12","14.99"," 1006","0.84","55","38","  210","  210","40.0","49.0",,,
"USW00053146","FORT HUACHUCA PIONEER AIRFIELD, AZ US","2019-03-13","22.82"," 1356","0.03","52","38","  250","  250","36.0","46.1",,,
